Gene,Chromosome Position,log2FoldChange,padj,Total_Mutations
GPX7,1p32.3,1.426503839,1.45647424687957e-39,2
SPHK1,17q25.1,1.912885953,1.69354897966658e-39,2
SELENOS,15q26.3,0.866378161,2.48163412975666e-39,2
FAM131C,1p36.13,2.547219735,3.12117161636356e-39,2
LYRM7,5q23.3-q31.1,-0.984402004,4.70453562560412e-39,2
POU6F1,12q13.13,-0.995698549,4.71843157978777e-39,2
GDI2,10p15.1,0.907956624,5.7508870543264e-39,2
IL2RG,Xq13.1,1.901017956,8.5161040937287e-39,2
ATF6B,6p21.32,0.728354936,1.0291250958362701e-38,2
GLMN,1p22.1,0.890840329,1.06711835979211e-38,2
PRELID1,5q35.3,1.119059401,1.16240217671203e-38,2
DOK3,5q35.3,1.443277668,1.20084981366381e-38,2
HSPA12B,20p13,-1.71667135,1.35494366652688e-38,2
YOD1,1q32.1,1.165312503,1.43053143198823e-38,2
C8G,9q34.3,1.666507054,1.94616870951773e-38,2
ZDHHC16,10q24.1,0.775453992,1.98419582510778e-38,2
C2CD2,21q22.3,-1.652378453,2.18578140903611e-38,2
EXOSC3,9p13.2,0.793206117,2.45664229922137e-38,2
TMEM273,10q11.23,-1.594418586,4.11063740597354e-38,2
ABHD17C,15q25.1,1.338739732,5.34899153975202e-38,2
CCSAP,1q42.13,1.058008322,9.43674768226311e-38,2
SLC25A16,10q21.3,-1.251395091,1.23670875043483e-37,2
ALDH6A1,14q24.3,-1.515856878,1.27328611657357e-37,2
CLIC1,6p21.33,0.852661405,1.27328611657357e-37,2
GTPBP2,6p21.1,0.911781995,1.2796783966806e-37,2
XYLB,3p22.2,1.185828307,1.43282664648182e-37,2
TMEM165,4q12,0.892273285,1.6324905779580999e-37,2
RAB5IF,20q11.23,1.861561399,1.99957580899295e-37,2
IGFLR1,19q13.12,1.479850225,2.00439138591904e-37,2
GNB1L,22q11.21,1.411008526,2.51568803684602e-37,2
PTH1R,3p21.31,-2.438834583,2.663801809713e-37,2
CYP27B1,12q14.1,1.965344896,3.33237131327443e-37,2
PCGF1,2p13.1,0.784775567,3.87220782613074e-37,2
TNFSF13B,13q33.3,2.069076497,4.20146574438883e-37,2
XXYLT1,3q29,1.106195673,4.60004358123201e-37,2
FBXO8,4q34.1,-0.742904546,6.19156015000828e-37,2
SMG9,19q13.31,0.90391885,1.3196386716365599e-36,2
SPAG4,20q11.22,1.720874941,1.5238567534181397e-36,2
METTL1,12q14.1,0.889408439,2.9371902316001396e-36,2
P3H4,17q21.2,1.455403294,3.78548760936344e-36,2
SLC17A9,20q13.33,2.035035965,3.9766490687980395e-36,2
ATXN7L3,17q21.31,0.607649843,5.0114390912309296e-36,2
DNAL1,14q24.3,-0.876613366,5.273033460982769e-36,2
OMD,9q22.31,-2.328531964,5.68096666319346e-36,2
HAX1,1q21.3,0.831008119,6.9511091814863e-36,2
MRPS26,20p13,1.179782372,8.760723262109329e-36,2
BANP,16q24.2,0.788405626,9.605288865328819e-36,2
SPG21,15q22.31,0.709129194,1.01127830235441e-35,2
NIP7,16q22.1,0.81321464,1.07293134376261e-35,2
STK32B,4p16.2,-2.000126799,1.11904182021754e-35,2
AMOTL2,3q22.2,-1.294941764,1.31442743535472e-35,2
TMEM177,2q14.2,1.026883613,1.56723213323768e-35,2
MYADM,19q13.42,-1.29774239,3.73259837535359e-35,2
CCDC28B,1p35.2,1.514018063,5.912862343173341e-35,2
AGMAT,1p36.21,1.677379595,8.81689949234175e-35,2
BTG3,21q21.1,1.089458877,9.309159729215481e-35,2
CYB5R2,11p15.4,1.580013602,1.1143530726417999e-34,2
ARPC1B,,1.244468893,1.1909210128873598e-34,2
TMEM144,4q32.1,-1.109533486,1.8560729814238399e-34,2
IL11,19q13.42,2.354077864,1.90305989802973e-34,2
NOL7,6p23,0.745022956,2.33868587518333e-34,2
CITED2,6q24.1,-1.224745571,2.35227155968455e-34,2
OTULIN,5p15.2,0.805673747,2.37390803798818e-34,2
SAMD4B,19q13.2,0.773133239,2.42251361198825e-34,2
CHURC1,14q23.3,-1.011549208,2.66788290965319e-34,2
NMRAL1,16p13.3,1.15438956,3.41224356584551e-34,2
R3HDM4,19p13.3,0.959860348,3.4774357832988097e-34,2
TUBG2,17q21.2,-0.937835695,3.71437585788353e-34,2
IMP4,2q21.1,0.793508017,4.05514381137995e-34,2
CTLA4,2q33.2,2.122077882,6.070390562355149e-34,2
TMEM223,11q12.3,0.934463374,7.676606966454279e-34,2
LBX2,2p13.1,1.679863892,9.19647980184459e-34,2
ARSI,5q32,1.962416477,9.64895119380992e-34,2
SRM,1p36.22,1.176064159,1.29799830225398e-33,2
CDK2AP2,11q13.2,1.026519737,1.4312323734589399e-33,2
PLN,6q22.31,-2.205130171,1.4459016508892899e-33,2
SIRT6,19p13.3,1.115613538,1.49306679546845e-33,2
GID8,20q13.33,0.656728612,1.80106902265634e-33,2
FLVCR2,14q24.3,1.261630805,1.94103080859255e-33,2
LTV1,6q24.2,0.876659402,1.95370229354499e-33,2
SPOCK2,10q22.1,1.665120799,2.3014772761467098e-33,2
SULT4A1,22q13.31,2.646655677,2.37699985556119e-33,2
CCNG2,4q21.1,-0.936179621,2.5723796947097002e-33,2
FAM219B,15q24.1-q24.2,-0.869983118,2.72666687127658e-33,2
RNF149,2q11.2,0.629679906,2.76600164961263e-33,2
GMEB2,20q13.33,0.617676423,3.30930355002428e-33,2
IGBP1,Xq13.1,-0.753333158,3.91605434774483e-33,2
SUMO1,2q33.1,0.725441862,7.76498877109616e-33,2
ART4,12p12.3,-2.527613983,7.90398157928068e-33,2
UTP11,1p34.3,0.889309459,8.15266080623687e-33,2
GLUD1,10q23.2,-0.68778978,8.27424744671647e-33,2
LPAR1,9q31.3,-1.337365596,9.41594943480847e-33,2
DTD1,20p11.23,0.917436127,1.1377086849546001e-32,2
TSLP,5q22.1,-2.353190262,1.23500076988432e-32,2
SYNGR2,17q25.3,0.921777863,1.63542577709739e-32,2
ISM1,20p12.1,-2.000755224,1.7002479412329201e-32,2
RASSF7,11p15.5,1.585793149,1.82402907097417e-32,2
C19orf53,19p13.13,1.059250298,2.22607812123569e-32,2
CPNE1,20q11.22,1.04940618,2.54688822392043e-32,2
KDELR1,19q13.33,0.748890487,2.7604532843168703e-32,2
FAM110A,20p13,1.347104837,2.8221129645791e-32,2
METTL26,16p13.3,1.266410669,3.01800067139227e-32,2
ARMC1,8q13.1,0.76739518,5.28322128157862e-32,2
GUK1,1q42.13,1.139329437,5.43164346126779e-32,2
SYNC,1p35.1,-1.880151197,6.90428978765651e-32,2
HNRNPD,4q21.22,0.609361037,9.22537642187557e-32,2
MINDY2,15q21.3-q22.1,-1.017683022,9.86967705926866e-32,2
DUSP9,Xq28,2.590823026,9.95358500184913e-32,2
GNG2,14q22.1,-1.760380391,1.03563138282634e-31,2
SLC7A1,13q12.3,1.129238399,1.08351666081828e-31,2
TXNDC9,2q11.2,0.667372873,1.4700831359445401e-31,2
TRIB3,20p13,1.474910615,1.7473382975923e-31,2
HS6ST1,2q14.3,0.941121371,2.6063191611286103e-31,2
DPM3,1q22,1.307959877,3.14307242604111e-31,2
ATG3,3q13.2,0.541173512,3.9194398665032998e-31,2
GLRX3,10q26.3,0.797827886,4.75038591314826e-31,2
PAPSS1,4q25,1.000061831,4.807043395342899e-31,2
PHF6,Xq26.2,0.854891607,5.19024240403479e-31,2
CRB2,9q33.3,-2.149356084,5.714448522985761e-31,2
PATL1,11q12.1,0.759539964,5.88831262328946e-31,2
WDR74,11q12.3,0.886501837,6.013740726871691e-31,2
METTL7A,,-1.484580134,6.286003054413881e-31,2
SYT13,11p11.2,3.199736514,6.346826748357181e-31,2
CTSG,14q12,-2.6889994,6.78832872195136e-31,2
GCAT,22q13.1,1.322670517,7.075905314362571e-31,2
RHPN1,8q24.3,1.689615649,7.615585769823491e-31,2
PRCD,17q25.1,-1.573164216,1.0312331720012799e-30,2
EPSTI1,13q14.11,1.527336086,1.3732987869432799e-30,2
KIN,10p14,0.696137307,1.4487592413104698e-30,2
FBXL20,17q12,-0.713809927,1.5432389625375099e-30,2
LRP2BP,4q35.1,-0.903090113,1.6955540809023e-30,2
CHCHD2,7p11.2,1.049471393,1.9847331381173497e-30,2
LSM1,8p11.23,0.987955922,2.3977184911282098e-30,2
H2BC5,6p22.2,1.739602397,2.40085267048363e-30,2
THBD,20p11.21,-1.550609512,2.4577499955546098e-30,2
YBX1,1p34.2,0.998569436,2.6209407552162698e-30,2
MAP11,,0.854594421,2.7157113416760297e-30,2
PSENEN,19q13.12,1.195771076,3.58956568033222e-30,2
POLR3G,5q14.3,1.230679201,3.8594993719861e-30,2
CYC1,8q24.3,1.19676087,4.55880083154135e-30,2
SIRT3,11p15.5,-0.750947213,5.2752295743217496e-30,2
KPTN,19q13.32,0.872210987,9.32181162472146e-30,2
NOC4L,12q24.33,0.989757852,9.874452528998649e-30,2
BNIP2,15q22.2,-0.677260573,1.20586410606825e-29,2
NDUFS5,1p34.3,1.082244216,1.42240815777685e-29,2
MAPK8IP2,22q13.33,2.06941913,1.53365390957733e-29,2
MS4A1,11q12.2,3.010731853,1.5713560352772e-29,2
ZDHHC18,1p36.11,0.805830001,1.84714591601211e-29,2
OMG,17q11.2,-1.394491772,2.4103141374542e-29,2
JOSD1,22q13.1,0.551453184,2.64307101010381e-29,2
RP9,7p14.3,0.825647037,2.69905009047628e-29,2
MYLIP,6p22.3,-0.94042045,2.7882540644861997e-29,2
TSPAN17,5q35.2,1.002720735,2.95572635896431e-29,2
HOXA7,7p15.2,-1.974431139,3.03892518310549e-29,2
CDR2,16p12.2,0.724541452,3.36475231410355e-29,2
ERP27,12p12.3,2.097832491,3.4969010628875797e-29,2
ASPHD1,16p11.2,2.229858578,3.8757280424060697e-29,2
SLC35C2,20q13.12,0.72165043,4.0978936522519e-29,2
ESAM,11q24.2,-1.320092143,5.4790738252661e-29,2
PHF7,3p21.1,-0.900892047,5.64778887988784e-29,2
AMD1,6q21,0.935251464,6.123475209089789e-29,2
NUP50,22q13.31,0.64030698,6.59953601075748e-29,2
CALML5,10p15.1,3.645880279,7.01897734837388e-29,2
PTGR2,14q24.3,-0.872632074,7.62178244322923e-29,2
METTL14,4q26,-0.594016594,8.42679956836121e-29,2
SERBP1,1p31.3,0.66696782,8.78070629735286e-29,2
MUS81,11q13.1,0.672601572,9.495793709879819e-29,2
FBXO22,15q24.2,0.671239263,9.83213923428099e-29,2
OAZ3,1q21.3,1.187651006,1.16238165517399e-28,2
PSMB8,6p21.32,1.174331106,1.25785305190577e-28,2
RAB33A,Xq26.1,1.391593111,1.26081377770354e-28,2
NUDT7,16q23.1,-1.329890282,1.89550809211245e-28,2
ARMC10,7q22.1,0.651812946,1.9528922746667199e-28,2
HMBOX1,8p21.1-p12,-0.698704629,2.02414191692327e-28,2
SYNDIG1,20p11.21,2.027176283,2.35990442015577e-28,2
VBP1,Xq28,0.796943267,2.57879740162371e-28,2
WDR45B,17q25.3,0.72869318,3.36247899267763e-28,2
DAP,5p15.2,0.82747976,4.0125572752807e-28,2
MAPRE1,20q11.21,0.596927322,4.40342555503255e-28,2
CXCL17,19q13.2,3.53071544,4.4644859890172295e-28,2
SLC36A4,11q21,0.942171101,4.6708548484510395e-28,2
FBXO31,16q24.2,-0.717543614,5.25833960165864e-28,2
PDZK1,1q21.1,-2.770397942,6.137514423806449e-28,2
ULBP3,6q25.1,1.382708251,6.39102293332651e-28,2
MTERF4,2q37.3,-0.509756379,8.74398398586057e-28,2
TCTEX1D2,,1.048384303,1.24898264646111e-27,2
WNT6,2q35,2.334477916,1.42903698256238e-27,2
CPNE7,16q24.3,2.253604761,1.44158929470194e-27,2
AIFM2,10q22.1,-1.562209536,1.47300264375126e-27,2
AVPR1A,12q14.2,-1.641291548,1.49971985661613e-27,2
LSM5,7p14.3,0.785155291,1.80086385590919e-27,2
TRMT61A,14q32.33,1.01800131,1.9455869255898e-27,2
WSCD1,17p13.2,-1.840821478,2.05846506013823e-27,2
FAM117A,17q21.33,-0.766792533,2.14382261104891e-27,2
BBS4,15q24.1,-0.657215725,2.1709286940751e-27,2
ENTR1,9q34.3,0.659213623,2.45930597761902e-27,2
BACE2,21q22.2-q22.3,1.038500777,2.46560859070929e-27,2
SLC43A3,11q12.1,1.035399304,2.555955082405e-27,2
NHP2,5q35.3,0.974318908,2.88509751849207e-27,2
CAMK1,3p25.3,-1.348403898,3.10123709952868e-27,2
RNASET2,6q27,1.186002124,3.30874984007833e-27,2
PSMD13,11p15.5,0.72739799,3.62991706129966e-27,2
VASH2,1q32.3,1.74223528,4.12777714077714e-27,2
COQ2,4q21.23,0.907372328,4.69429161850921e-27,2
FSTL1,3q13.33,-1.3845528,5.00420447475507e-27,2
C5AR2,19q13.32,-1.502500985,5.20434315623745e-27,2
ZNF410,14q24.3,-0.97177771,6.66063501739411e-27,2
CCR4,3p22.3,2.005414084,9.1489099923666e-27,2
PYCR2,1q42.12,0.794727953,1.20812947388411e-26,2
SEPHS2,16p11.2,0.788833219,1.4223537799590398e-26,2
VTI1B,14q24.1,-0.973603121,3.1135619833877004e-26,2
STT3A,11q24.2,0.676472115,3.24068731528952e-26,2
NR1I3,1q23.3,1.116573666,3.5778120780393797e-26,2
GULP1,2q32.1-q32.2,-1.3232058,3.70820467087295e-26,2
AKAP10,17p11.2,-0.542748069,4.2353360731113897e-26,2
SLC22A5,5q31.1,-0.911573388,4.3150199170624497e-26,2
CALM2,2p21,0.653314006,4.4834140620053097e-26,2
MRPL24,1q23.1,1.011977276,4.4956514393736097e-26,2
PTGES2,9q34.11,0.982357102,4.6155103668682003e-26,2
H6PD,1p36.22,-0.810129745,4.7656976128374697e-26,2
MED19,11q12.1,0.645345419,5.15884031849002e-26,2
ZNF639,3q26.33,0.71878926,5.36131581908357e-26,2
GPR132,14q32.33,1.24505671,5.38271884040676e-26,2
GCH1,14q22.2,1.111347344,6.222804157265101e-26,2
TCIRG1,11q13.2,1.334791005,6.326002613472759e-26,2
ALDH1B1,9p13.1,1.102611584,6.34732604175785e-26,2
TCEAL5,Xq22.1,-2.740432996,6.8692251644189e-26,2
STAC3,12q13.3,1.217975684,7.01744441010796e-26,2
EMC10,19q13.33,0.910388761,7.683503855189929e-26,2
PHB,,0.71920045,9.123982638539939e-26,2
SH2B2,7q22.1,1.502736427,9.13796580067523e-26,2
RPS6KA4,11q13.1,1.004194945,9.23300760361935e-26,2
STYXL1,7q11.23,0.804202476,9.52798711126043e-26,2
TLR6,4p14,1.331999337,9.76212030908469e-26,2
NTHL1,16p13.3,1.165951242,1.05345374990074e-25,2
SETDB2,13q14.2,-0.703576575,1.2807681803001102e-25,2
PPP1R14A,19q13.2,-1.7996097,1.42707718049637e-25,2
IL6,7p15.3,-2.384044058,1.4769017147454302e-25,2
TRAPPC3,1p34.3,0.598365773,1.53234797395796e-25,2
DRD4,11p15.5,1.541562954,1.54911724640195e-25,2
PRTFDC1,10p12.1,1.34160065,1.74675683670483e-25,2
GPR37L1,1q32.1,1.754889022,2.4965443175939804e-25,2
KCTD16,5q31.3,-1.680275447,2.5906270046720504e-25,2
ZER1,9q34.11,-0.540301084,2.6029139481248003e-25,2
PFKL,21q22.3,0.893641498,2.69624328803311e-25,2
LONP1,19p13.3,0.912555397,3.0717125521559802e-25,2
ERAP1,5q15,-1.024351742,3.17058261224548e-25,2
BTF3,5q13.2,-0.638228177,4.65674659979775e-25,2
MCAT,22q13.2,0.746804909,5.107751253270541e-25,2
SENP5,3q29,0.622005369,6.0461818111201705e-25,2
IRF1,5q31.1,1.276198423,6.27485578382834e-25,2
MED7,5q33.3,-0.565348777,7.68278357609795e-25,2
GTF2F2,13q14.12-q14.13,0.631338263,8.62353496798809e-25,2
SDHAF2,11q12.2,0.793999194,1.05172019495271e-24,2
FRS2,12q15,-0.862661453,1.11681012379603e-24,2
RAC2,22q13.1,1.400555661,1.14781751318173e-24,2
UBE2A,Xq24,0.602595919,1.40788577592286e-24,2
MDH2,7q11.23,0.803098098,1.49580582103061e-24,2
MAP4K2,11q13.1,0.698813676,1.71972352836207e-24,2
BCS1L,2q35,0.597350171,1.80047342632224e-24,2
GLRB,4q32.1,-1.389879498,1.93558932641799e-24,2
DYDC2,10q23.1,2.118816724,2.0408846060383e-24,2
RPA3,7p21.3,0.729633705,2.07747265766095e-24,2
HAS3,16q22.1,-2.117579536,2.10701720561302e-24,2
THPO,3q27.1,-1.331475981,2.42161628766149e-24,2
DERL1,8q24.13,0.665160729,3.15863816974637e-24,2
PFDN4,20q13.2,0.785906194,4.38904956650186e-24,2
CNTD1,17q21.2-q21.31,-1.286716807,4.94105336625931e-24,2
PPP1R8,1p35.3,0.434471897,5.28561650787435e-24,2
GSTP1,11q13.2,1.02612108,7.12636116269331e-24,2
UBE2L6,11q12.1,1.098529725,7.182060210755501e-24,2
C16orf87,16q11.2,0.731582094,8.52696115599214e-24,2
SLC25A34,1p36.21,-1.212921417,8.64131868389928e-24,2
MEDAG,13q12.3,-1.898622531,1.03102572054988e-23,2
SIT1,9p13.3,1.594498702,1.06428507152962e-23,2
MTX2,2q31.1,0.578929877,1.40902987070669e-23,2
TPRKB,2p13.1,0.753499267,1.67419257161355e-23,2
CEP76,18p11.21,0.693878161,1.88177371776372e-23,2
GNA15,19p13.3,1.363827268,1.95990199574262e-23,2
HMCN2,9q34.11,-2.327259218,2.0515049160052602e-23,2
PLAGL2,20q11.21,0.709195202,2.7453798663385304e-23,2
IGHV1-18,14q32.33,2.766902172,2.7477529457084104e-23,2
CYB561,17q23.3,0.86993943,2.84853171136881e-23,2
LILRB4,19q13.42,1.507209402,2.9210820276892503e-23,2
OTUB2,14q32.12,0.942713561,3.73401320779405e-23,2
GALNT16,14q24.1,-1.678562801,4.68024398543043e-23,2
GRWD1,19q13.33,0.609855629,4.8239748696623204e-23,2
HIF1AN,10q24.31,-0.552463033,8.035798169827551e-23,2
ANP32A,15q23,0.519705829,8.35891931161548e-23,2
UBE2J2,1p36.33,0.684955467,8.73035514442992e-23,2
RTP4,3q27.3,1.454143859,1.31184728662925e-22,2
ARL4A,7p21.3,-1.221890188,1.3802024701450002e-22,2
NCF1,7q11.23,1.454598129,1.51872294542192e-22,2
THRSP,11q14.1,-2.973628333,1.5554994146075899e-22,2
XKRX,Xq22.1,1.57510579,2.02846051254109e-22,2
C6orf15,6p21.33,2.969741728,2.2968815046218797e-22,2
AJM1,9q34.3,1.274434714,2.4868051196174497e-22,2
CHIC1,Xq13.2,-0.88747839,2.5336066843242e-22,2
CHST4,16q22.2,2.307121515,3.2011685371877697e-22,2
APBA3,19p13.3,0.803346812,3.58197223018544e-22,2
ZBED6CL,,1.122413038,3.66373920794299e-22,2
GMNN,6p22.3,0.956985774,3.6824529236621e-22,2
CERS1,19p13.11,2.408293735,4.34502324467453e-22,2
RAB10,2p23.3,0.555110627,4.39316901495299e-22,2
ATP5IF1,1p35.3,0.842975219,4.50741926781975e-22,2
SF3A2,19p13.3,0.842475327,6.002047081441001e-22,2
PSTPIP1,15q24.3,1.469196403,6.43303653893741e-22,2
IGLV3-21,22q11.22,2.667623182,7.41967279391126e-22,2
E2F4,16q22.1,0.538642783,7.55531566898595e-22,2
CXCL8,4q13.3,2.15029367,8.2610499457617e-22,2
ACYP1,14q24.3,0.792390175,9.47864110114728e-22,2
SKAP2,7p15.2,-0.903374134,9.604225181689819e-22,2
ARV1,1q42.2,0.740810962,1.02965963041987e-21,2
SERPING1,11q12.1,-1.027794119,1.02987499711684e-21,2
TPD52L2,20q13.33,0.582247495,1.17216163942045e-21,2
C1orf50,1p34.2,-0.778459492,1.30656521431831e-21,2
PGAM1,10q24.1,0.627368335,1.33556028836097e-21,2
ZNF213,16p13.3,0.59942013,1.4209413079028501e-21,2
RBBP8NL,20q13.33,1.696772212,1.44333791657314e-21,2
TMEM70,8q21.11,0.756049426,1.49266027628085e-21,2
AK3,9p24.1,-0.844407015,1.83635379056878e-21,2
FDCSP,4q13.3|4q13,3.389813791,1.91140053706436e-21,2
DNALI1,1p34.3,-1.961860325,1.93277243371963e-21,2
CNOT6L,4q21.1,-0.631275006,2.06238266694039e-21,2
NRAS,1p13.2,0.832106756,2.39339371297525e-21,2
GFRA1,10q25.3,-2.373691501,2.48296934987509e-21,2
CD9,12p13.31,0.894831123,2.73833636040533e-21,2
RAB1A,2p14,0.511699895,2.97469471203656e-21,2
SERTAD4,1q32.2,1.31239236,3.13362695317112e-21,2
MBNL2,13q32.1,-0.882119053,3.43516154399986e-21,2
ALG1,16p13.3,0.575121749,3.4938688553298404e-21,2
ALKBH2,12q24.11,0.85969897,3.5131592713957605e-21,2
MRPL28,16p13.3,0.945626526,3.6077952489232e-21,2
ARL11,13q14.2,1.078163879,3.64541707901041e-21,2
USP10,16q24.1,0.516137287,3.95671195048797e-21,2
PRIM1,12q13.3,0.790054398,4.63042305810837e-21,2
LRATD1,2p24.3,1.562112548,4.98928355195788e-21,2
BIN2,12q13.13,1.101803668,5.6568259373301504e-21,2
PGM3,6q14.1,0.615550643,5.8852895520755804e-21,2
TACO1,17q23.3,0.681017904,7.11295035096128e-21,2
GOLT1A,1q32.1,1.554286759,7.290001144913511e-21,2
NCOA4,10q11.22,-0.640761864,8.08343641717246e-21,2
GRB2,17q25.1,0.442482804,8.3697878871864e-21,2
PSME3,17q21.31,0.494380026,1.1200455907675001e-20,2
FRA10AC1,10q23.33,-0.550647362,1.17394639089839e-20,2
LZTFL1,3p21.31,-0.671610703,1.17394639089839e-20,2
NAA60,16p13.3,0.571421359,1.29274462827125e-20,2
B3GNTL1,17q25.3,0.906193198,1.2996291083769301e-20,2
NAGA,22q13.2,0.59783925,1.35310003342608e-20,2
RBFOX2,22q12.3,-0.543776073,1.41324460603153e-20,2
MTUS1,8p22,-1.127438955,2.20074166833745e-20,2
PLPP2,19p13.3,1.301141535,2.52644992525367e-20,2
FANCL,2p16.1,0.659699362,2.5774377692575602e-20,2
NRARP,9q34.3,1.29888404,2.76460242807594e-20,2
TRBV20-1,7q34,1.648162891,3.23092117297943e-20,2
PDK1,2q31.1,0.884458909,3.35399857297243e-20,2
TM7SF2,11q13.1,-1.556979266,3.6526995794637405e-20,2
APOBEC3A,22q13.1,1.947416325,4.02768752526744e-20,2
CXCR2,2q35,-1.721576112,4.28897243571553e-20,2
ABCB9,12q24.31,0.973944775,4.52229898857818e-20,2
DUSP11,2p13.1,0.42961237,5.61311202869944e-20,2
PIN4,Xq13.1,0.682640131,5.69418574786576e-20,2
PLCD3,17q21.31,-1.014217198,6.07584499574882e-20,2
ARMT1,6q25.1,-0.798102497,6.117472442267441e-20,2
ECRG4,2q12.2,-2.326419703,9.59072768367934e-20,2
RABL6,9q34.3,0.81213426,1.07303634076664e-19,2
LDHA,11p15.1,0.843560068,1.1045004835760601e-19,2
CCZ1B,7p22.1,0.693303732,1.14043499713383e-19,2
HPGDS,4q22.3,-1.52569602,1.28612306607631e-19,2
GNAQ,9q21.2,-0.70759516,1.32092889860111e-19,2
MAN1C1,1p36.11,-1.0596054,1.42212096460579e-19,2
PSMA1,11p15.2,0.728463366,1.4539532774252e-19,2
ARL5B,10p12.31,0.756670336,1.4872698734507202e-19,2
MTG1,10q26.3,0.854912933,1.70690960986313e-19,2
GEMIN2,14q21.1,0.597099047,1.7765420917641401e-19,2
CTDSP1,2q35,-0.582833304,1.86859504237906e-19,2
GZMK,5q11.2,1.674001187,2.45211357618474e-19,2
PCGF5,10q23.32,-0.660886025,3.01038169865406e-19,2
BAG2,6p12.1,1.19696273,3.07396903318513e-19,2
OLAH,10p13,2.093923054,3.18606309596243e-19,2
SFN,1p36.11,1.880664035,4.3799852208498e-19,2
VPS28,8q24.3,0.824468656,4.578875187124e-19,2
FAM220A,7p22.1,0.611824878,4.76509941975878e-19,2
RCAN2,6p12.3,-1.092981572,5.176558789151561e-19,2
UCHL3,13q22.2,0.922018684,6.200712706154041e-19,2
FAM210A,18p11.21,0.640237312,6.44237744094135e-19,2
SLC33A1,3q25.31,0.599706491,7.90079599544263e-19,2
MCCC2,5q13.2,-0.731907058,7.963122945759821e-19,2
ATG5,6q21,0.441749102,8.294307256528141e-19,2
CCDC121,2p23.3,-0.606553697,9.55208768713361e-19,2
GYPE,4q31.21,-1.470975123,9.984086650420611e-19,2
SARAF,8p12,-0.570140204,1.01374951079069e-18,2
C9orf163,9q34.3,1.235741758,1.04284055189448e-18,2
SURF2,9q34.2,0.925074604,1.34642728133474e-18,2
SNX9,6q25.3,-0.557855998,1.6128762039352198e-18,2
FASLG,1q24.3,1.609292471,1.76202349802287e-18,2
STEAP4,7q21.12,-1.73456693,1.85728194107072e-18,2
AKR1A1,1p34.1,0.676962123,2.0100667479662097e-18,2
FAM78B,1q24.1,1.441117448,2.22060787299566e-18,2
CCNI2,5q31.1,1.561120031,2.36582658499448e-18,2
CFLAR,2q33.1,-0.639099063,2.3952651224620197e-18,2
HTR1F,3p11.2-p11.1,-1.356992131,2.5074534330038397e-18,2
CAP1,1p34.2,0.465166879,2.7432269226116198e-18,2
PPP1R16B,20q11.23,-1.355413502,4.12842590639807e-18,2
RABGGTB,1p31.1,0.628582111,4.54734853480804e-18,2
MATR3,5q31.2,-0.938886961,4.5564916100712e-18,2
SH3RF2,5q32,-1.362086795,4.57134308008382e-18,2
CD79A,19q13.2,2.072824729,6.3571227393427295e-18,2
IDH3G,Xq28,0.664995964,6.38584139031366e-18,2
POMC,2p23.3,1.864163958,6.89239057762044e-18,2
TFAP2E,1p34.3,1.240476169,7.03762745467532e-18,2
MAT1A,10q22.3,1.920497219,7.547038299751359e-18,2
ADAL,,-0.680116269,7.714414279729529e-18,2
SHMT1,17p11.2,-0.901455764,8.53865172120337e-18,2
MAT2B,5q34,-0.421387757,8.56351204435012e-18,2
TUBA4A,2q35,1.295572423,9.40358081919568e-18,2
TMPRSS13,11q23.3,1.413113387,9.573194390082679e-18,2
KCNMB1,5q35.1,-1.543201203,9.61692159364632e-18,2
PTGR1,9q31.3,-0.73679282,9.986941061943269e-18,2
SIRT1,10q21.3,-0.600009481,1.04137501886228e-17,2
MAPK13,6p21.31,0.837170183,1.2387982933795201e-17,2
GMPPB,3p21.31,0.637823972,1.2464343064971801e-17,2
SYPL2,1p13.3,-1.281132084,1.28004110896826e-17,2
CAPZB,1p36.13,0.499419417,1.4749417189785e-17,2
TMEM218,11q24.2,-0.625826611,1.5703715431206502e-17,2
VPS9D1,16q24.3,0.775742094,1.7520846035707e-17,2
NSF,17q21.31,0.502812052,1.78822975469497e-17,2
ZNF354A,5q35.3,0.644604217,1.95113935999642e-17,2
NKIRAS1,3p24.2,-0.538356075,1.97132552589515e-17,2
NME5,5q31.2,-1.400821444,2.15414859262923e-17,2
BCL7C,16p11.2,0.700620136,2.18457439481009e-17,2
NDUFS8,11q13.2,0.919729159,2.35179363623029e-17,2
DNM1L,12p11.21,0.52607129,2.4922412036346402e-17,2
ZNF691,1p34.2,0.475204596,2.6784964526823902e-17,2
SLC47A1,17p11.2,-1.174863251,2.96215227051271e-17,2
TPM4,19p13.12-p13.11,0.586269245,2.9975502781843804e-17,2
SLC29A2,11q13.2,0.915254705,3.31103413296481e-17,2
ZNF764,16p11.2,0.44022123,3.45126359980173e-17,2
GLRX2,1q31.2,0.591185104,3.60308658487625e-17,2
RTL8B,Xq26.3,0.7299851,4.03034323881257e-17,2
TTC22,1p32.3,1.388533874,4.13912196691614e-17,2
SDHAF3,7q21.3,0.795510988,4.92528007350638e-17,2
ZADH2,,-0.567956613,5.86322410125458e-17,2
ACAD8,11q25,-0.553980502,6.20926642151953e-17,2
GNPDA1,5q31.3,0.4628232,6.809724813315181e-17,2
GSTO1,10q25.1,0.614857704,7.36369279420356e-17,2
YTHDF2,1p35.3,0.433023955,7.921072879550251e-17,2
